Predicted_Concentration,Cu,Conductivity,Cu-327nm_predict,Predicted_Concentration_std
6.9389145161674906,7.5,3000.0,6582.8627439,0.22256340909880162
10.072593196392223,15.0,3000.0,8542.5306524,0.34737090439375123
6.776272618302508,7.5,3250.0,7480.9035028,0.22409620789896906
12.006201061244026,15.0,3250.0,10751.475880900001,1.220330113727653
7.705341383773141,7.5,3500.0,9061.6531705,0.3059347094576963
14.63362391876448,15.0,3500.0,13394.303174,0.7916366803839409
7.356501324695264,7.5,3750.0,9843.2536053,0.3905352370151439
13.946635719163197,15.0,3750.0,13964.440301,0.5545383267317562
6.074035561260342,7.5,4000.0,10041.0046675,0.3907805171022171
14.065047125565666,15.0,4000.0,15038.239712,0.7279541134141119
