Conductivity,Cu,Cu-327nm_predict,Ni-232nm_predict,Zn-214nm_predict,Pb-406nm_predict
3000,20,11200.91176,1926.312757,49027.66681,23972.26881
3000,20,11354.08061,2161.350809,49022.5887,22927.55825
3000,20,10432.65219,1190.623876,48804.46289,25008.34568
3000,20,10740.93046,1224.066504,48720.51113,23821.67464
3000,20,10753.52198,1624.197681,49030.05388,24415.8435
3000,20,10403.68796,1169.863714,48566.19321,22973.30303
3000,20,10313.52404,1360.942851,48770.74274,23553.51049
3000,20,10970.15665,1831.906474,48879.23175,24822.26295
3000,20,10627.92806,1346.076272,48719.02093,23697.99682
3000,20,10913.61898,1466.441775,48684.9646,24168.62184
3000,20,11230.01669,1396.105675,48717.94413,23970.91837
3000,20,10900.50899,1564.812546,48602.86867,24261.76208
3000,20,10631.94826,1278.905216,48397.56348,23287.16545
3000,20,10664.66386,1803.835387,48323.36182,24275.36456
3000,20,10642.9256,1813.12117,48602.46132,23510.51706
3000,20,10535.3695,1306.08881,48600.75773,23915.4626
3000,20,10835.35885,1912.356221,47683.87017,22427.02142
3000,20,10697.2655,1746.534398,48695.71014,22882.81196
3000,20,10775.53993,1743.120915,48500.3686,23220.9083
3000,20,10489.56647,1731.755061,48453.27856,22285.45516
3000,20,10570.2442,1414.998397,48573.52483,23114.91474
3000,20,10511.77909,1467.584656,48487.69668,23404.18999
3000,20,10747.6961,1622.235474,48532.55491,23292.64412
3000,20,10936.77051,1873.317233,48324.23439,23005.77277
3000,20,10657.30299,2027.598563,48816.13585,22937.77564
3000,20,11575.25072,2071.378361,48595.88693,22467.7907
3500,0,5910.209275,5.594297888,576.5695492,143.3069871
3500,0,6088.035867,-70.62268066,691.7472323,177.7976807
3500,0,6100.795978,-11.94570483,797.0466949,95.75979245
3500,0,5948.087558,-144.2884033,608.0863083,200.9483983
3500,0,5698.634873,-51.34451819,834.2136187,186.8115833
3500,0,6247.930358,45.76137525,782.2484619,111.6433074
3500,0,6072.918066,-70.93646156,862.3241755,117.5726584
3500,0,6072.126745,21.45988769,791.005753,115.7396711
3500,0,6269.930161,-31.91414028,759.927082,76.88128225
3500,0,6215.356174,87.74414119,637.8906842,96.11720184
3500,0,5834.462017,3.412096309,601.6214849,-82.39527818
3500,0,6662.609756,85.76168979,729.5151438,86.82636698
3500,0,5702.364684,-49.99850507,766.4383309,139.9004336
3500,0,5847.070036,-110.3764279,653.6017814,-71.16885676
3500,0,5828.273183,131.5141743,680.30701,158.6056646
3500,0,5896.855051,-71.34531989,645.3419887,102.4913105
3500,0,5971.568778,77.05324593,757.9621582,57.63422371
3500,0,5744.849911,56.67881824,567.2453238,39.16759952
3500,0,6138.251456,-103.2511566,672.5296831,-15.84550435
3500,0,6053.906211,84.08184332,657.8237418,0.03926126
3500,0,6175.479542,30.48839197,724.3826033,59.70771719
3500,0,6117.802682,-77.86695642,713.36389,149.6810179
3500,0,5614.140626,-68.97204476,687.9275729,50.28976168
3500,0,5755.230079,46.79833133,647.4720277,167.5047759
3500,0,5915.568183,76.87508913,840.7246714,91.6743943
3500,0,5887.626239,115.8444512,707.7460726,156.1734831
3500,0,5985.762528,-38.98378169,566.3854256,67.21366402
3500,0,4472.141192,21.25827296,727.30896,53.96944551
3500,0,6100.453295,111.0977931,731.9422434,114.767142
3500,0,5769.83313,6.190153179,757.2978409,195.8054352
3500,5,7713.729956,317.2757656,20844.34794,11789.33147
3500,5,7785.542736,362.3526733,20967.70596,12016.36461
3500,5,7423.915563,322.0613852,19915.46131,11269.69336
3500,5,7668.570454,407.3011165,20282.07045,11478.09811
3500,5,7226.628385,488.9902267,20695.38204,11478.34961
3500,5,6947.965104,300.5612966,19682.14266,10856.46467
3500,5,7186.213655,269.6708908,20749.45425,11658.65496
3500,5,7279.649476,412.6884246,20273.42091,10727.42657
3500,5,7252.101908,327.5666518,20785.42794,12130.86687
3500,5,7600.640303,362.5408433,20729.28595,11301.20253
3500,5,7016.805163,237.944125,20325.31604,11000.83458
3500,5,7147.224499,215.3918505,19408.13657,10642.36276
3500,5,7094.716031,218.9871903,19791.09273,10267.88413
3500,5,7339.778683,523.3079263,20734.38768,11311.52175
3500,5,7083.108171,496.0509984,19558.31869,10560.74232
3500,5,7539.506016,345.1600748,20165.50266,10757.23193
3500,5,7140.192037,330.0891616,21058.48054,11009.28448
3500,5,7152.726502,348.2784875,20406.74142,10566.58942
3500,5,7206.223159,399.4685073,20555.23617,10846.45228
3500,5,7321.136218,338.5645885,20761.98823,11101.53582
3500,5,7516.612774,410.1303578,20699.6162,10926.53086
3500,5,7288.994056,285.3450391,19597.72911,9840.986028
3500,5,7150.826484,327.0340176,19707.85504,10414.08287
3500,5,7169.69079,190.0492077,20657.172,9822.1268
3500,5,7033.152615,219.0500491,20668.99877,10374.76917
3500,5,7326.518691,294.549252,20828.02091,10142.77155
3500,5,7835.787564,146.979916,20225.60214,10480.05382
3500,5,7381.751105,513.7172684,19896.23644,10366.29881
3500,5,7253.693486,288.5767672,19463.98798,10116.76613
3500,5,7452.109209,397.0749912,19768.26279,9720.397268
3500,10,10876.57497,1868.46096,31584.49866,22081.54485
3500,10,11075.44123,2047.141969,30630.21726,21240.39996
3500,10,10865.81751,1589.565741,31169.48098,21384.51519
3500,10,9890.664985,1534.086148,31418.83784,22059.15326
3500,10,9658.474602,1330.159336,31108.97557,21141.43574
3500,10,10308.01582,1824.196935,30232.51574,20278.30801
3500,10,9877.977415,1812.903432,30335.82944,21206.51874
3500,10,9929.070779,1530.364081,31336.54675,20456.22511
3500,10,9649.472978,1582.03089,31530.3849,21115.57499
3500,10,9984.907675,1696.110118,29076.25036,19331.35683
3500,10,10441.99143,1656.236744,30389.40896,19643.31455
